School Year,School ID,Total,# Bilingual,% Bilingual,# SpED,% SpED,# Free/Reduced Lunch,% Free/Reduced Lunch
2017,609910,1207,518,0.4292,145,0.1201,1107,0.9171
2017,609818,934,350,0.3747,125,0.1338,873,0.9347
2017,610539,972,366,0.3765,117,0.1204,791,0.8138
2017,610046,1504,473,0.3145,181,0.1203,1396,0.9282
2017,610244,548,6,0.0109,67,0.1223,526,0.9599
2017,609830,539,16,0.0297,73,0.1354,503,0.9332
2017,610051,492,124,0.2520,66,0.1341,475,0.9654
2017,610367,614,8,0.0130,113,0.1840,592,0.9642
2017,610183,696,4,0.0057,87,0.1250,683,0.9813
2017,610518,304,5,0.0164,78,0.2566,289,0.9507
2017,610038,853,75,0.0879,46,0.0539,139,0.1630
2017,609720,4195,22,0.0052,190,0.0453,2099,0.5004
2017,609799,961,42,0.0437,104,0.1082,136,0.1415
2017,610039,648,197,0.3040,92,0.1420,513,0.7917
2017,609875,523,198,0.3786,82,0.1568,424,0.8107
2017,610402,196,1,0.0051,3,0.0153,135,0.6888
2017,610541,858,370,0.4312,129,0.1503,791,0.9219
2017,610144,998,436,0.4369,117,0.1172,927,0.9289
2017,609926,365,12,0.0329,42,0.1151,146,0.4000
2017,609930,449,177,0.3942,66,0.1470,435,0.9688
2017,610010,344,62,0.1802,66,0.1919,208,0.6047
2017,610048,356,4,0.0112,66,0.1854,317,0.8904
2017,609850,614,153,0.2492,62,0.1010,495,0.8062
2017,610078,716,216,0.3017,68,0.0950,355,0.4958
2017,609803,884,59,0.0667,86,0.0973,147,0.1663
2017,610074,899,256,0.2848,107,0.1190,824,0.9166
2017,609942,790,129,0.1633,96,0.1215,560,0.7089
2017,609789,726,287,0.3953,68,0.0937,610,0.8402
2017,609782,560,30,0.0536,56,0.1000,118,0.2107
2017,609716,533,159,0.2983,96,0.1801,510,0.9568
2017,610033,563,17,0.0302,65,0.1155,174,0.3091
2017,610325,777,255,0.3282,88,0.1133,722,0.9292
2017,609809,475,100,0.2105,66,0.1389,333,0.7011
2017,610094,822,92,0.1119,80,0.0973,183,0.2226
2017,609774,640,31,0.0484,59,0.0922,80,0.1250
2017,610524,331,19,0.0574,41,0.1239,263,0.7946
2017,610059,730,26,0.0356,72,0.0986,105,0.1438
2017,609853,458,176,0.3843,98,0.2140,408,0.8908
2017,609968,764,279,0.3652,94,0.1230,669,0.8757
2017,610095,574,37,0.0645,90,0.1568,339,0.5906
2017,610136,375,53,0.1413,46,0.1227,154,0.4107
2017,610097,883,416,0.4711,102,0.1155,847,0.9592
2017,610088,710,290,0.4085,90,0.1268,677,0.9535
2017,610334,416,12,0.0288,114,0.2740,407,0.9784
2017,610342,602,104,0.1728,68,0.1130,518,0.8605
2017,610131,144,28,0.1944,22,0.1528,139,0.9653
2017,610005,275,,,34,0.1236,262,0.9527
2017,610194,267,,,30,0.1124,248,0.9288
2017,609863,294,111,0.3776,28,0.0952,221,0.7517
2017,609873,305,7,0.0230,42,0.1377,271,0.8885
2017,609835,783,207,0.2644,112,0.1430,758,0.9681
2017,610221,311,,,33,0.1061,228,0.7331
2017,610503,252,,,25,0.0992,218,0.8651
2017,609854,461,143,0.3102,115,0.2495,404,0.8764
2017,610293,509,,,66,0.1297,495,0.9725
2017,610202,346,3,0.0087,43,0.1243,307,0.8873
2017,609693,1150,16,0.0139,75,0.0652,921,0.8009
2017,610192,692,268,0.3873,121,0.1749,665,0.9610
2017,609985,368,,,41,0.1114,357,0.9701
2017,609797,482,,,63,0.1307,418,0.8672
2017,610044,509,157,0.3084,138,0.2711,481,0.9450
2017,610271,450,9,0.0200,61,0.1356,403,0.8956
2017,609723,370,,,107,0.2892,365,0.9865
2017,609954,356,,,61,0.1713,342,0.9607
2017,610313,656,63,0.0960,89,0.1357,565,0.8613
2017,609925,347,,,19,0.0548,301,0.8674
2017,610133,513,8,0.0156,54,0.1053,460,0.8967
2017,610034,301,,,27,0.0897,299,0.9934
2017,609907,467,2,0.0043,38,0.0814,405,0.8672
2017,609722,177,2,0.0113,47,0.2655,156,0.8814
2017,610055,306,1,0.0033,50,0.1634,305,0.9967
2017,609691,961,189,0.1967,155,0.1613,905,0.9417
2017,610234,508,159,0.3130,159,0.3130,461,0.9075
2017,610056,370,1,0.0027,52,0.1405,331,0.8946
2017,610100,648,219,0.3380,80,0.1235,568,0.8765
2017,610251,394,2,0.0051,76,0.1929,357,0.9061
2017,610123,362,17,0.0470,98,0.2707,331,0.9144
2017,610229,747,48,0.0643,71,0.0950,359,0.4806
2017,609947,449,86,0.1915,48,0.1069,394,0.8775
2017,610060,561,54,0.0963,36,0.0642,235,0.4189
2017,609996,498,123,0.2470,57,0.1145,427,0.8574
2017,610012,238,,,43,0.1807,228,0.9580
2017,610009,577,80,0.1386,54,0.0936,343,0.5945
2017,610062,366,62,0.1694,81,0.2213,324,0.8852
2017,610107,497,164,0.3300,133,0.2676,446,0.8974
2017,610217,558,234,0.4194,37,0.0663,403,0.7222
2017,609959,671,232,0.3458,19,0.0283,553,0.8241
2017,610180,436,8,0.0183,76,0.1743,399,0.9151
2017,609828,445,60,0.1348,50,0.1124,172,0.3865
2017,610081,563,49,0.0870,36,0.0639,264,0.4689
2017,610529,716,34,0.0475,87,0.1215,370,0.5168
2017,609777,274,86,0.3139,43,0.1569,232,0.8467
2017,610138,911,150,0.1647,78,0.0856,681,0.7475
2017,609769,119,34,0.2857,119,1.0000,109,0.9160
2017,610561,590,5,0.0085,23,0.0390,511,0.8661
2017,609979,1472,366,0.2486,81,0.0550,1254,0.8519
2017,610252,309,4,0.0129,101,0.3269,299,0.9676
2017,610029,232,115,0.4957,65,0.2802,203,0.8750
2017,610250,366,133,0.3634,71,0.1940,290,0.7923
2017,609750,64,3,0.0469,10,0.1563,63,0.9844
2017,610548,461,33,0.0716,26,0.0564,155,0.3362
2017,610405,411,17,0.0414,47,0.1144,207,0.5036
2017,609896,353,13,0.0368,21,0.0595,99,0.2805
2017,610121,478,31,0.0649,81,0.1695,421,0.8808
2017,610101,836,124,0.1483,64,0.0766,173,0.2069
2017,609812,286,11,0.0385,85,0.2972,249,0.8706
2017,610308,93,37,0.3978,84,0.9032,70,0.7527
2017,609966,458,200,0.4367,91,0.1987,436,0.9520
2017,610063,794,381,0.4798,81,0.1020,691,0.8703
2017,609870,544,215,0.3952,74,0.1360,462,0.8493
2017,609704,843,217,0.2574,186,0.2206,809,0.9597
2017,610227,1035,524,0.5063,84,0.0812,936,0.9043
2017,610215,336,54,0.1607,54,0.1607,327,0.9732
2017,609920,660,309,0.4682,70,0.1061,649,0.9833
2017,610383,304,70,0.2303,64,0.2105,288,0.9474
2017,610384,409,48,0.1174,56,0.1369,387,0.9462
2017,610125,773,225,0.2911,87,0.1125,661,0.8551
2017,610216,365,88,0.2411,72,0.1973,314,0.8603
2017,610228,269,176,0.6543,32,0.1190,241,0.8959
2017,610184,596,258,0.4329,84,0.1409,520,0.8725
2017,609950,596,372,0.6242,58,0.0973,516,0.8658
2017,609938,1118,455,0.4070,165,0.1476,1047,0.9365
2017,610015,291,130,0.4467,71,0.2440,267,0.9175
2017,610129,475,189,0.3979,72,0.1516,455,0.9579
2017,610024,614,327,0.5326,78,0.1270,594,0.9674
2017,609834,834,399,0.4784,95,0.1139,813,0.9748
2017,609872,311,92,0.2958,41,0.1318,279,0.8971
2017,610017,1085,384,0.3539,117,0.1078,972,0.8959
2017,610385,251,68,0.2709,64,0.2550,245,0.9761
2017,610329,568,189,0.3327,73,0.1285,497,0.8750
2017,609867,493,282,0.5720,76,0.1542,435,0.8824
2017,610013,360,131,0.3639,96,0.2667,329,0.9139
2017,609826,611,125,0.2046,92,0.1506,598,0.9787
2017,610357,162,40,0.2469,32,0.1975,157,0.9691
2017,609921,288,189,0.6563,55,0.1910,245,0.8507
2017,609967,428,144,0.3364,78,0.1822,402,0.9393
2017,610392,340,70,0.2059,46,0.1353,334,0.9824
2017,609993,474,176,0.3713,54,0.1139,427,0.9008
2017,610563,1044,98,0.0939,86,0.0824,1010,0.9674
2017,610317,490,189,0.3857,42,0.0857,449,0.9163
2017,610353,807,438,0.5428,104,0.1289,687,0.8513
2017,610170,1165,440,0.3777,104,0.0893,1026,0.8807
2017,609909,200,80,0.4000,27,0.1350,185,0.9250
2017,609735,280,11,0.0393,104,0.3714,265,0.9464
2017,609682,252,63,0.2500,69,0.2738,214,0.8492
2017,610319,303,52,0.1716,44,0.1452,288,0.9505
2017,609709,336,68,0.2024,66,0.1964,319,0.9494
2017,610532,1045,181,0.1732,132,0.1263,1009,0.9656
2017,609983,692,423,0.6113,94,0.1358,654,0.9451
2017,610174,957,406,0.4242,88,0.0920,930,0.9718
2017,610559,654,100,0.1529,125,0.1911,641,0.9801
2017,609829,481,172,0.3576,53,0.1102,406,0.8441
2017,609964,610,312,0.5115,81,0.1328,595,0.9754
2017,609694,892,33,0.0370,50,0.0561,805,0.9025
2017,610117,1266,398,0.3144,126,0.0995,1147,0.9060
2017,609756,2951,284,0.0962,289,0.0979,2722,0.9224
2017,609876,776,408,0.5258,96,0.1237,757,0.9755
2017,609952,554,231,0.4170,57,0.1029,500,0.9025
2017,610239,612,296,0.4837,50,0.0817,600,0.9804
2017,610157,1660,535,0.3223,120,0.0723,1521,0.9163
2017,610226,1014,525,0.5178,81,0.0799,939,0.9260
2017,609715,2075,486,0.2342,347,0.1672,1951,0.9402
2017,610504,161,116,0.7205,55,0.3416,78,0.4845
2017,609855,390,181,0.4641,224,0.5744,337,0.8641
2017,610167,738,296,0.4011,72,0.0976,688,0.9322
2017,610175,355,23,0.0648,29,0.0817,266,0.7493
2017,609969,330,20,0.0606,50,0.1515,236,0.7152
2017,610381,376,7,0.0186,58,0.1543,353,0.9388
2017,610345,342,5,0.0146,65,0.1901,315,0.9211
2017,610030,285,5,0.0175,44,0.1544,242,0.8491
2017,610380,237,2,0.0084,28,0.1181,228,0.9620
2017,609751,642,13,0.0202,63,0.0981,488,0.7601
2017,609819,435,,,57,0.1310,377,0.8667
2017,610246,1353,3,0.0022,83,0.0613,1090,0.8056
2017,610065,360,,,54,0.1500,353,0.9806
2017,609713,745,4,0.0054,153,0.2054,720,0.9664
2017,610110,392,2,0.0051,21,0.0536,345,0.8801
2017,610276,381,5,0.0131,32,0.0840,327,0.8583
2017,610256,130,2,0.0154,12,0.0923,101,0.7769
2017,609891,287,3,0.0105,33,0.1150,256,0.8920
2017,610213,576,2,0.0035,67,0.1163,480,0.8333
2017,609894,418,2,0.0048,74,0.1770,380,0.9091
2017,609919,464,1,0.0022,43,0.0927,432,0.9310
2017,610126,628,16,0.0255,63,0.1003,472,0.7516
2017,609746,1784,17,0.0095,105,0.0589,1073,0.6015
2017,610237,406,3,0.0074,61,0.1502,404,0.9951
2017,609676,561,7,0.0125,142,0.2531,550,0.9804
2017,610090,520,12,0.0231,45,0.0865,289,0.5558
2017,609987,225,3,0.0133,76,0.3378,213,0.9467
2017,610587,149,1,0.0067,22,0.1477,131,0.8792
2017,610143,239,1,0.0042,36,0.1506,232,0.9707
2017,610142,718,83,0.1156,82,0.1142,361,0.5028
2017,609977,195,2,0.0103,13,0.0667,186,0.9538
2017,610185,1273,479,0.3763,190,0.1493,1028,0.8075
2017,609788,321,,,45,0.1402,233,0.7259
2017,610287,507,33,0.0651,88,0.1736,402,0.7929
2017,609871,336,76,0.2262,149,0.4435,185,0.5506
2017,610087,154,68,0.4416,134,0.8701,97,0.6299
2017,609839,502,4,0.0080,79,0.1574,420,0.8367
2017,609879,1045,250,0.2392,173,0.1656,985,0.9426
2017,610347,434,26,0.0599,93,0.2143,419,0.9654
2017,610077,753,248,0.3293,88,0.1169,723,0.9602
2017,610352,712,254,0.3567,88,0.1236,568,0.7978
2017,610006,866,278,0.3210,76,0.0878,748,0.8637
2017,610195,616,3,0.0049,82,0.1331,201,0.3263
2017,609908,321,2,0.0062,41,0.1277,278,0.8660
2017,610057,592,254,0.4291,66,0.1115,563,0.9510
2017,610067,813,59,0.0726,120,0.1476,758,0.9323
2017,609849,410,14,0.0341,79,0.1927,93,0.2268
2017,609741,1772,246,0.1388,236,0.1332,1681,0.9486
2017,609861,516,6,0.0116,86,0.1667,226,0.4380
2017,609893,737,90,0.1221,127,0.1723,375,0.5088
2017,609898,1423,472,0.3317,138,0.0970,1367,0.9606
2017,609718,1658,108,0.0651,284,0.1713,1259,0.7593
2017,610207,287,,,30,0.1045,201,0.7003
2017,610016,250,1,0.0040,35,0.1400,91,0.3640
2017,609807,563,102,0.1812,92,0.1634,503,0.8934
2017,610544,948,262,0.2764,93,0.0981,814,0.8586
2017,610206,1147,186,0.1622,102,0.0889,900,0.7847
2017,609832,654,54,0.0826,107,0.1636,368,0.5627
2017,609725,1420,3,0.0021,135,0.0951,1216,0.8563
2017,609960,974,127,0.1304,135,0.1386,651,0.6684
2017,609981,359,124,0.3454,109,0.3036,327,0.9109
2017,609956,467,145,0.3105,51,0.1092,387,0.8287
2017,610558,861,38,0.0441,154,0.1789,727,0.8444
2017,610109,263,6,0.0228,29,0.1103,154,0.5856
2017,609698,798,71,0.0890,183,0.2293,738,0.9248
2017,609869,316,4,0.0127,29,0.0918,310,0.9810
2017,610037,375,55,0.1467,81,0.2160,367,0.9787
2017,609941,505,14,0.0277,62,0.1228,484,0.9584
2017,610290,423,,,81,0.1915,381,0.9007
2017,610238,321,1,0.0031,71,0.2212,285,0.8879
2017,610366,289,,,37,0.1280,217,0.7509
2017,609986,263,9,0.0342,33,0.1255,252,0.9582
2017,609897,454,5,0.0110,69,0.1520,423,0.9317
2017,609790,434,,,74,0.1705,413,0.9516
2017,609748,270,2,0.0074,54,0.2000,270,1.0000
2017,610223,508,10,0.0197,94,0.1850,454,0.8937
2017,610299,235,,,34,0.1447,212,0.9021
2017,609924,404,,,61,0.1510,374,0.9257
2017,609927,378,2,0.0053,81,0.2143,321,0.8492
2017,610112,563,2,0.0036,51,0.0906,500,0.8881
2017,609768,136,8,0.0588,48,0.3529,135,0.9926
2017,610173,334,3,0.0090,64,0.1916,330,0.9880
2017,609864,366,2,0.0055,50,0.1366,340,0.9290
2017,610019,278,1,0.0036,43,0.1547,257,0.9245
2017,609793,519,2,0.0039,72,0.1387,506,0.9750
2017,610108,401,14,0.0349,56,0.1397,392,0.9776
2017,610369,320,,,60,0.1875,283,0.8844
2017,610362,316,4,0.0127,43,0.1361,280,0.8861
2017,609783,259,5,0.0193,82,0.3166,222,0.8571
2017,609692,1323,,,127,0.0960,1203,0.9093
2017,610300,422,5,0.0118,77,0.1825,361,0.8555
2017,609997,212,2,0.0094,30,0.1415,181,0.8538
2017,610003,358,,,57,0.1592,329,0.9190
2017,609707,151,,,56,0.3709,151,1.0000
2017,609791,449,,,65,0.1448,428,0.9532
2017,610102,466,,,68,0.1459,433,0.9292
2017,609929,378,121,0.3201,45,0.1190,364,0.9630
2017,610391,1294,16,0.0124,72,0.0556,834,0.6445
2017,610027,310,,,39,0.1258,243,0.7839
2017,609805,407,,,62,0.1523,373,0.9165
2017,610521,261,8,0.0307,33,0.1264,247,0.9464
2017,609745,270,33,0.1222,270,1.0000,230,0.8519
2017,610506,160,,,21,0.1313,143,0.8938
2017,609895,263,,,36,0.1369,189,0.7186
2017,610032,379,1,0.0026,60,0.1583,338,0.8918
2017,610153,395,2,0.0051,111,0.2810,349,0.8835
2017,609711,167,1,0.0060,46,0.2754,166,0.9940
2017,610281,565,26,0.0460,66,0.1168,516,0.9133
2017,610316,250,7,0.0280,22,0.0880,176,0.7040
2017,610171,572,148,0.2587,72,0.1259,552,0.9650
2017,609887,584,3,0.0051,66,0.1130,466,0.7979
2017,610268,279,2,0.0072,33,0.1183,266,0.9534
2017,609786,298,1,0.0034,37,0.1242,286,0.9597
2017,610323,328,26,0.0793,97,0.2957,292,0.8902
2017,609827,513,1,0.0019,66,0.1287,420,0.8187
2017,609833,274,3,0.0109,40,0.1460,219,0.7993
2017,609813,211,2,0.0095,21,0.0995,210,0.9953
2017,609674,923,18,0.0195,266,0.2882,867,0.9393
2017,609815,603,8,0.0133,85,0.1410,597,0.9900
2017,609862,473,3,0.0063,68,0.1438,439,0.9281
2017,609712,151,,,54,0.3576,146,0.9669
2017,609939,554,1,0.0018,80,0.1444,516,0.9314
2017,610124,371,5,0.0135,50,0.1348,359,0.9677
2017,610279,346,4,0.0116,73,0.2110,311,0.8988
2017,610052,390,1,0.0026,49,0.1256,336,0.8615
2017,610066,196,1,0.0051,10,0.0510,64,0.3265
2017,610047,230,1,0.0043,29,0.1261,222,0.9652
2017,610200,336,47,0.1399,108,0.3214,319,0.9494
2017,610093,285,4,0.0140,127,0.4456,249,0.8737
2017,609710,484,,,109,0.2252,452,0.9339
2017,610130,287,2,0.0070,34,0.1185,243,0.8467
2017,610218,280,8,0.0286,39,0.1393,266,0.9500
2017,610152,405,,,44,0.1086,350,0.8642
2017,609961,373,34,0.0912,36,0.0965,326,0.8740
2017,610115,330,1,0.0030,32,0.0970,330,1.0000
2017,610116,251,,,35,0.1394,210,0.8367
2017,610146,225,,,26,0.1156,191,0.8489
2017,610350,444,6,0.0135,22,0.0495,365,0.8221
2017,610530,453,1,0.0022,86,0.1898,381,0.8411
2017,610547,591,4,0.0068,51,0.0863,497,0.8409
2017,610178,215,,,38,0.1767,197,0.9163
2017,610002,250,,,27,0.1080,200,0.8000
2017,610193,458,57,0.1245,98,0.2140,453,0.9891
2017,609808,577,4,0.0069,77,0.1334,554,0.9601
2017,609705,230,1,0.0043,42,0.1826,223,0.9696
2017,610004,172,3,0.0174,22,0.1279,151,0.8779
2017,610198,498,180,0.3614,85,0.1707,445,0.8936
2017,610188,255,,,32,0.1255,225,0.8824
2017,610132,214,,,5,0.0234,84,0.3925
2017,610315,180,,,26,0.1444,149,0.8278
2017,609917,304,,,39,0.1283,293,0.9638
2017,609800,329,1,0.0030,31,0.0942,300,0.9119
2017,609761,371,,,109,0.2938,345,0.9299
2017,610139,351,9,0.0256,45,0.1282,331,0.9430
2017,609845,464,,,47,0.1013,461,0.9935
2017,610219,887,84,0.0947,74,0.0834,650,0.7328
2017,609739,1410,142,0.1007,202,0.1433,1287,0.9128
2017,609726,916,2,0.0022,55,0.0600,658,0.7183
2017,609856,615,166,0.2699,81,0.1317,516,0.8390
2017,609848,167,,,23,0.1377,155,0.9281
2017,609943,435,,,64,0.1471,422,0.9701
2017,610176,475,1,0.0021,63,0.1326,423,0.8905
2017,610054,799,256,0.3204,90,0.1126,672,0.8411
2017,610225,306,,,53,0.1732,259,0.8464
2017,610199,252,14,0.0556,26,0.1032,193,0.7659
2017,610368,486,6,0.0123,112,0.2305,399,0.8210
2017,610128,241,,,13,0.0539,228,0.9461
2017,609935,884,180,0.2036,118,0.1335,842,0.9525
2017,610208,354,1,0.0028,45,0.1271,329,0.9294
2017,610086,260,1,0.0038,60,0.2308,238,0.9154
2017,609811,295,54,0.1831,65,0.2203,281,0.9525
2017,609762,631,,,130,0.2060,603,0.9556
2017,609902,417,,,52,0.1247,407,0.9760
2017,610091,353,,,41,0.1161,323,0.9150
